zone,ward_no,ward_name
Narela Zone,1,Narela
Narela Zone,2,Bankner
Narela Zone,3,Holambi Kalan
Narela Zone,4,Alipur
Narela Zone,5,Bakhtawarpur
Civil Lines Zone,6,Burari
Civil Lines Zone,7,Kadipur
Civil Lines Zone,8,Mukundpur
Civil Lines Zone,9,Sant Nagar
Civil Lines Zone,10,Jharoda
Rohini Zone,11,Timarpur
Rohini Zone,12,Malka Ganj
Rohini Zone,13,Mukherjee Nagar
Rohini Zone,14,Dhirpur
Rohini Zone,15,Adarsh Nagar
Rohini Zone,16,Azadpur
Rohini Zone,17,Bhalswa
Rohini Zone,18,Jahangir Puri
Rohini Zone,19,Sarup Nagar
Rohini Zone,20,Samaypur Badli
Rohini Zone,21,Rohini-A
Rohini Zone,22,Rohini-B
Rohini Zone,23,Rithala
Rohini Zone,24,Vijay Vihar
Rohini Zone,25,Buddh Vihar
Narela Zone,26,Pooth Kalan
Narela Zone,27,Begumpur
Narela Zone,28,Shahbad Dairy
Narela Zone,29,Pooth Khurd
Narela Zone,30,Bawana
Narela Zone,31,Nangal Thakran
North West Zone,32,Kanjhawala
North West Zone,33,Rani Khera
North West Zone,34,Nangloi
North West Zone,35,Mundka
North West Zone,36,Nilothi
North West Zone,37,Kirari
North West Zone,38,Prem Nagar
North West Zone,39,Mubarikpur
North West Zone,40,Nithari
North West Zone,41,Aman Vihar
North West Zone,42,Mangol Puri
North West Zone,43,Sultanpuri-A
North West Zone,44,Sultanpuri-B
West Zone,45,Jwalapuri
West Zone,46,Nangloi Jat
West Zone,47,Nihal Vihar
West Zone,48,Guru Harkishan Nagar
West Zone,49,Mangolpuri-A
West Zone,50,Mangolpuri-B
Rohini Zone,51,Rohini-C
Rohini Zone,52,Rohini-F
Rohini Zone,53,Rohini-E
Rohini Zone,54,Rohini-D
North West Zone,55,Shalimar Bagh-A
North West Zone,56,Shalimar Bagh-B
North West Zone,57,Pitampura
North West Zone,58,Saraswati Vihar
North West Zone,59,Paschim Vihar
North West Zone,60,Rani Bagh
North West Zone,61,Kohat Enclave
North West Zone,62,Shakur Pur
North West Zone,63,Tri Nagar
North West Zone,64,Keshav Puram
North West Zone,65,Ashok Vihar
North West Zone,66,Wazir Pur
Central Zone,67,Sangam Park
Central Zone,68,Model Town
Central Zone,69,Kamla Nagar
Central Zone,70,Shastri Nagar
Central Zone,71,Kishan Ganj
Central Zone,72,Sadar Bazar
Central Zone,73,Civil Lines
Central Zone,74,Chandni Chowk
Central Zone,75,Jama Masjid
Central Zone,76,Chandani Mahal
Central Zone,77,Delhi Gate
Central Zone,78,Bazar Sita Ram
Central Zone,79,Ballimaran
Central Zone,80,Ram Nagar
Central Zone,81,Quraish Nagar
Karol Bagh Zone,82,Pahar Ganj
Karol Bagh Zone,83,Karol Bagh
Karol Bagh Zone,84,Dev Nagar
Karol Bagh Zone,85,West Patel Nagar
Karol Bagh Zone,86,East Patel Nagar
Karol Bagh Zone,87,Rajinder Nagar
Karol Bagh Zone,88,Baljit Nagar
Karol Bagh Zone,89,Karam Pura
Karol Bagh Zone,90,Moti Nagar
Karol Bagh Zone,91,Ramesh Nagar
